Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/30/2012,South Carolina,17,Vanderbilt,13,-6.5
08/30/2012,U-C-F,56,Akron,14,-24.5
08/30/2012,Eastern Michigan,26,Ball State,37,3.0
08/30/2012,Massachusetts,0,Connecticut,37,21.0
08/30/2012,U.C.L.A.,49,Rice,24,-16.0
08/30/2012,Washington State,6,Brigham Young,30,13.0
08/30/2012,Minnesota,30,Nevada-Las Vegas,27,-9.5
08/30/2012,Towson,21,Kent State,41, 
08/30/2012,S E Missouri St,27,Central Michigan,38, 
08/30/2012,Northern Colorado,0,Utah,41, 
08/30/2012,McNeese State,27,Middle Tennessee,21, 
08/30/2012,Southern Utah,3,Utah State,34, 
08/30/2012,Sacramento State,19,New Mexico State,49, 
08/30/2012,Eastern Washington,20,Idaho,3, 
08/30/2012,Northern Arizona,6,Arizona State,63, 
08/31/2012,Tennessee,35,No Carolina State,21,-3.0
08/31/2012,Boise State,13,Michigan State,17,7.5
08/31/2012,San Jose State,17,Stanford,20,24.5
08/31/2012,Villanova,10,Temple,41, 
08/31/2012,Wagner,3,Florida Atlantic,7, 
09/01/2012,Notre Dame,50,Navy,10,-14.5
09/01/2012,Marshall,34,West Virginia,69,27.0
09/01/2012,Ohio,24,Penn State,14,6.0
09/01/2012,Northwestern,42,Syracuse,41,2.0
09/01/2012,Miami-Ohio,10,Ohio State,56,26.0
09/01/2012,Western Michigan,7,Illinois,24,10.0
09/01/2012,Tulsa,23,Iowa State,38,-1.5
09/01/2012,Nevada-Reno,31,California,24,12.0
09/01/2012,Southern Miss,20,Nebraska,49,20.5
09/01/2012,Miami-Florida,41,Boston College,32,-2.5
09/01/2012,Iowa,18,Northern Illinois,17,-2.5
09/01/2012,Colorado,17,Colorado State,22,-6.0
09/01/2012,Buffalo,23,Georgia,45,38.0
09/01/2012,Bowling Green,14,Florida,27,28.5
09/01/2012,Wyoming,17,Texas,37,31.0
09/01/2012,Texas State,30,Houston,13,34.5
09/01/2012,Clemson,26,Auburn,19,-2.5
09/01/2012,Hawaii,10,Southern Cal,49,43.0
09/01/2012,Michigan,14,Alabama,41,13.5
09/01/2012,Rutgers,24,Tulane,12,-19.5
09/01/2012,Oklahoma,24,UTEP,7,-30.0
09/01/2012,Toledo,17,Arizona,24,10.0
09/01/2012,San Diego State,12,Washington,21,16.0
